Leather Goddesses of Phobos! 2: Gas Pump Girls Meet the Pulsating Inconvenience from Planet X,made:lgop2
Little Big Adventure (Relentless: Twinsen's Adventure),twine:lba
MTV's Beavis and Butt-Head in Virtual Stupidity,bbvs:bbvs
Majestic Part 1: Alien Encounter,director:majestic
Mandy Christmas Adventure,sludge:mandy
Marvel Comics Spider-Man: The Sinister Six,hypno:sinistersix
Private Eye,private:private-eye
Mission Supernova 1,supernova:msn1
Mission Supernova 2,supernova:msn2
Mortville Manor,mortevielle:mortevielle
Necronomicon: The Dawning of Darkness,phoenixvr:necrono
Nightlong: Union City Conspiracy,trecision:nl
"Nippon Safes, Inc.",parallaction:nippon
Obsidian,mtropolis:obsidian
Orion Burger,m4:burger
Ripley's Believe It or Not!: The Riddle of Master Lu,m4:riddle
Out Of Order,sludge:outoforder
Over-Ring-Under,director:overringunder
Penumbra: Overture,hpl1:penumbraoverture
Plumbers Don't Wear Ties,plumbers:plumbers
Primordia,ags:primordia
Strangeland,ags:strangeland
Red Comrades 1: Save the Galaxy,petka:petka1
Red Comrades 2: For the Great Justice,petka:petka2
Resonance,ags:resonance
Rex Nebular and the Cosmic Gender Bender,mads:nebular
Robin's Rescue,sludge:robinsrescue
Rodney's Funscreen,made:rodney
Rosemary,wintermute:rosemary
Sanitarium,asylum:asylum
Soldier Boyz,hypno:soldierboyz
Wetlands,hypno:wetlands
Space Quest IV.5 - Roger Wilco and the Voyage Home,ags:sq45
Space Quest: Vohaul Strikes Back,ags:sqvsb
Spaceship Warlock,director:warlock
Starship Titanic,titanic:titanic
Stellaluna,mohawk:stellaluna
Syberia,tetraedge:syberia
Syberia II,tetraedge:syberia2
Technobabylon,ags:technobabylon
Teen Agent,teenagent:teenagent
The Prince and the Coward,prince:prince
Tender Loving Care,groovie:tlc
The Better Dead Ratification,director:betterd
The Cute Machine,director:cutemachine
The Dark Eye,director:darkeye
The Griffon Legend,griffon:griffon
The Labyrinth of Time,lab:lab
The Last Express,lastexpress:lastexpress
The Longest Journey,stark:tlj
The Lost Files of Sherlock Holmes: Case of the Rose Tattoo,sherlock:rosetattoo
The Lost Files of Sherlock Holmes: The Case of the Serrated Scalpel,sherlock:scalpel
The Neverhood,neverhood:neverhood
The Pink Panther: Hokus Pokus Pink,pink:pokus
The Pink Panther: Passport to Peril,pink:peril
The White Chamber,wintermute:twc
Thimbleweed Park,twp:twp
Time Gal,director:timegal
Tony Tough and the Night of Roasted Moths,tony:tony
